HUC_6,Year,Cattle and calves,Hogs and pigs,Sheep and lambs,Horses and ponies,Goats,Chickens
010100,2017,6931,283,957,681,190,9979
010200,2017,18422,1049,1125,1322,560,9120
010300,2017,32689,700,2102,1491,1453,19833
010400,2017,11432,736,1820,1155,466,0
010500,2017,3856,1036,3526,1122,2216,0
010600,2017,11017,1292,6570,4927,1993,66717
010700,2017,15784,3065,5551,5786,3900,64326
010801,2017,68046,3421,8588,3966,3823,291489
010802,2017,24795,4347,8085,7800,5025,143914
010900,2017,13004,0,5899,9297,3234,93488
011000,2017,54284,3273,5589,9232,4671,0
020200,2017,207734,5094,17272,19706,9294,605634
020301,2017,6224,2749,7530,9135,3600,60699
020302,2017,361,283,411,1509,213,64543
020401,2017,66021,4125,10094,9880,5806,1933112
020402,2017,148736,115491,10955,20553,8451,15610843
020403,2017,1896,2110,1525,4043,1629,13665136
020501,2017,340290,139563,20068,14863,8861,732767
020502,2017,106357,142165,6616,5701,2408,3620332
020503,2017,762220,750744,36282,35133,21959,60396671
020600,2017,57774,14654,7782,15507,4358,20699400
020700,2017,732911,106112,57683,36335,29879,49540344
020801,2017,146539,3839,7815,13865,7035,76362620
020802,2017,243356,49305,11669,12068,9821,7593662
030101,2017,296949,204490,8032,10894,11450,5590904
030102,2017,41708,295059,3237,4474,4214,10013518
030201,2017,36662,294204,2256,3431,3071,9390488
030202,2017,48896,1733666,3153,6672,5986,11308423
030203,2017,2209,173158,185,767,523,589113
030300,2017,165160,5337836,6003,10048,14017,50062526
030401,2017,250663,104576,6428,10339,11554,52880607
030402,2017,62260,1085337,1919,8269,8892,35359388
030501,2017,254538,26851,8949,26084,23440,37175161
030502,2017,48357,9684,3471,9650,8726,16505813
030601,2017,255665,33481,6366,15136,19920,88880543
030602,2017,68955,9921,1671,2110,5184,4090659
030701,2017,238132,12912,6756,13307,22190,46146122
030702,2017,63540,11421,1178,2772,5271,14313110
030801,2017,250419,2885,4998,32649,14431,526162
030802,2017,26963,362,1190,1871,1391,7210
030901,2017,296989,0,955,2814,1702,0
030902,2017,211589,1823,5417,14253,7878,0
031001,2017,240588,528,931,2644,2772,11188
031002,2017,200800,2599,3652,16271,9393,3490792
031101,2017,83723,874,675,3853,3405,237936
031102,2017,283229,3815,4248,8655,13417,21611828
031200,2017,37651,721,905,3034,2989,7184059
031300,2017,352878,8683,7835,15639,16885,47898493
031401,2017,56588,1127,1761,5158,4705,3932632
031402,2017,158307,620,2058,4741,4069,33343003
031403,2017,79680,2011,945,2824,3381,16983524
031501,2017,365420,19830,8132,20793,18679,107964151
031502,2017,186634,1424,1803,4909,6395,5807769
031601,2017,385387,408346,8545,14449,12568,58103895
031602,2017,62988,1543,1012,2363,2668,906019
031700,2017,283379,2301,5040,10057,12920,62990262
031800,2017,244715,0,2564,10913,6468,69328548
040101,2017,276,6,56,136,53,1740
040102,2017,11125,465,334,862,336,9897
040103,2017,22926,868,1345,1146,272,8311
040201,2017,4878,105,945,499,213,3694
040202,2017,3010,418,426,194,98,7916
040203,2017,0,0,0,17,0,41
040301,2017,596216,8368,6152,6208,6039,177317
040302,2017,484045,5670,5564,9412,30866,135333
040400,2017,85906,8834,1637,2994,1610,27761
040500,2017,637121,1142932,40481,46792,17045,25435597
040601,2017,162169,90506,12665,10211,5250,83684
040602,2017,213,0,0,0,0,0
040700,2017,30872,909,4490,3648,1280,24115
040801,2017,185025,67637,2660,2021,604,0
040802,2017,181360,66205,9218,10941,3919,441782
040803,2017,360,0,469,23,83,94
040900,2017,47312,2614,10700,7154,1885,38584
041000,2017,348067,1312171,32455,19788,12522,13284366
041100,2017,35157,14279,6413,11963,2773,45842
041201,2017,122250,2272,5146,5451,2493,0
041202,2017,0,0,0,0,0,0
041300,2017,223449,2194,19016,7740,2458,340868
041401,2017,42478,3337,2033,2500,1711,0
041402,2017,322693,20331,13964,10100,3542,1271987
041501,2017,69940,465,608,1292,742,8440
041502,2017,0,0,0,0,0,0
041503,2017,135567,1045,3369,3753,1153,98758
041504,2017,218386,3304,10624,7677,6419,0
041505,2017,30925,218,865,309,765,2520
050100,2017,229655,9016,14440,14942,7550,0
050200,2017,164414,5828,16029,10577,9239,66067
050301,2017,168294,11157,15436,16437,9260,2651812
050302,2017,122585,27734,10295,8661,9917,51911
050400,2017,418683,347478,53065,35009,16761,23181165
050500,2017,377276,2603,25375,12211,11151,64253
050600,2017,133280,389128,16106,10487,7647,2940486
050701,2017,3198,26,329,464,332,4881
050702,2017,14200,260,1426,1700,1952,9287
050800,2017,177306,520417,14345,10218,7439,9660915
050901,2017,71819,1503,4529,5597,5315,0
050902,2017,136421,106371,9692,13460,9379,67119
051001,2017,302069,2195,8923,19633,7833,74217
051002,2017,380353,3820,10358,37480,10039,46604
051100,2017,650548,110902,20094,22812,18320,25803606
051201,2017,393782,3607560,24841,19462,16594,25912199
051202,2017,200686,945983,22432,21289,14763,14182698
051301,2017,503786,5605,16692,16874,23335,10182525
051302,2017,338854,21585,10358,19762,23745,4455731
051401,2017,389151,45767,15544,20708,9103,4269745
051402,2017,141771,223241,7019,7160,6328,7142189
060101,2017,444381,4811,26348,18884,19223,3849034
060102,2017,302910,3470,13522,13101,12071,536374
060200,2017,163198,2205,4853,7644,7540,15941829
060300,2017,533921,27394,14247,22967,23386,66087474
060400,2017,317853,111240,9264,15209,16982,10827040
070101,2017,171504,30092,7513,6426,5224,1263617
070102,2017,472189,284953,18512,11745,5334,16356885
070200,2017,761010,5143095,45450,8043,9551,7361702
070300,2017,157790,7968,10750,8082,5138,444895
070400,2017,770531,954513,23613,17313,12378,9353850
070500,2017,357928,12130,11368,8715,10931,268622
070600,2017,1047592,1925692,29052,10503,27561,4425253
070700,2017,610484,73837,17892,16928,12095,979322
070801,2017,396540,3535356,31208,9408,16451,238273
070802,2017,561350,5899874,32802,11833,29732,14821550
070900,2017,826252,802328,26672,17797,22755,7407356
071000,2017,593280,5884690,37195,12690,12851,35328494
071100,2017,432865,1145995,21386,12266,10731,1683442
071200,2017,190445,316606,11329,15888,8704,3390104
071300,2017,298665,1859666,15787,8214,8518,151072
071401,2017,353865,86493,9104,11082,8775,276656
071402,2017,161943,484929,8732,5749,4358,1862890
080101,2017,6691,0,167,501,167,702128
080102,2017,179104,214719,9226,12034,10185,15993792
080201,2017,442,0,0,58,0,0
080202,2017,71546,57722,2994,3523,2121,7285610
080203,2017,51998,850,592,2756,1717,2627007
080204,2017,8252,198,0,524,462,2123
080301,2017,0,0,0,0,0,0
080302,2017,161157,12925,3466,8319,5245,0
080401,2017,134961,14842,1761,3531,2722,13924386
080402,2017,126000,2405,1493,6940,4130,28574584
080403,2017,47574,896,1314,2974,1149,3707589
080500,2017,67869,165,114,2928,1038,474272
080601,2017,2754,46,0,150,0,120
080602,2017,97340,81321,621,5324,2514,7308771
080701,2017,1467,0,0,136,0,479
080702,2017,131649,1202,1882,5841,3887,5173776
080703,2017,19430,0,84,692,501,0
080801,2017,84295,496,3229,5724,1914,14409
080802,2017,169347,1572,4359,8688,3662,20804
080901,2017,0,0,0,0,0,0
080902,2017,15093,173,463,3291,1130,18056
080903,2017,32299,135,311,1227,723,4271
090100,2017,166019,0,3601,3701,673,2787
090201,2017,225207,118041,18847,3933,1902,987189
090202,2017,212467,82462,9492,3064,675,4948
090203,2017,139597,0,6263,3504,1621,163366
090300,2017,11235,261,0,779,0,5088
090400,2017,4287,0,0,1092,0,94
100200,2017,270046,336,23924,9754,2120,4623
100301,2017,188936,54001,15757,7564,1520,248213
100302,2017,126514,76159,12940,7070,1003,702146
100401,2017,261651,287,24397,3420,443,3275
100402,2017,166339,19943,36496,2813,1148,0
100500,2017,227579,15521,7392,4448,722,255214
100600,2017,127963,0,11422,3042,253,1640
100700,2017,326660,4725,29630,12833,3428,71747
100800,2017,264457,905,92171,17358,7468,12756
100901,2017,107511,80,5200,4409,231,2607
100902,2017,218661,264,71392,6395,1146,2617
101000,2017,358914,737,12749,5623,861,3476
101101,2017,125389,57,748,3472,774,1809
101102,2017,267023,555,35110,4290,760,3037
101201,2017,417845,358,43364,11362,1228,9459
101202,2017,204304,329,52290,6014,1739,4229
101301,2017,679403,54287,14672,10761,964,6037
101302,2017,355746,644,10567,5154,1631,4752
101303,2017,388222,0,48623,7580,481,1788
101401,2017,564032,108118,11477,5927,2358,0
101402,2017,464781,11987,3580,7816,1103,2781
101500,2017,888795,161796,17202,6854,2750,5303
101600,2017,1190714,712386,41273,7670,4602,0
101701,2017,529588,388829,26572,3098,3104,0
101702,2017,1197336,3482757,75541,8177,4877,7629286
101800,2017,999653,55687,74753,15790,4252,13290
101900,2017,1361081,93771,204956,42137,18910,5060527
102001,2017,770578,157203,5448,4031,2734,9352
102002,2017,215603,399435,3578,4123,3333,101654
102100,2017,1389709,874417,5719,9601,4564,33366
102200,2017,1065444,694726,8777,4412,2769,0
102300,2017,794816,3544898,35383,6193,5944,10595719
102400,2017,644045,1140868,19827,9116,9759,5453500
102500,2017,1810301,1030025,23653,8061,6290,14168
102600,2017,1117373,597379,23823,6432,5727,17779
102701,2017,307159,172288,5072,6732,7126,0
102702,2017,682790,750819,18302,5081,4922,1912320
102801,2017,517909,1436648,13920,9514,7131,507858
102802,2017,174563,299042,4375,3077,2945,23034
102901,2017,1321715,467582,29555,22929,20002,4596969
102902,2017,288207,42257,8470,5000,6247,128016
103001,2017,539427,435631,13312,13724,11823,14783399
103002,2017,54862,67011,2576,1788,1158,9850
110100,2017,1214085,35258,20900,26458,32163,62027851
110200,2017,507970,136986,9298,17377,12668,47022
110300,2017,2059503,354710,16736,18295,9149,0
110400,2017,1099117,550427,2619,2546,1305,2631
110500,2017,627423,144341,8490,11690,9349,48183
110600,2017,543726,1702,6436,6655,7895,14339
110701,2017,545671,61435,7954,16521,13674,200327
110702,2017,1218617,97067,17487,19732,19716,51249447
110800,2017,122662,96,1112,4136,1470,5841
110901,2017,639210,1080,612,3514,1294,2515
110902,2017,424557,0,7945,13501,13985,246707
111001,2017,1134085,1769322,561,3159,1395,2238
111002,2017,271641,601069,661,1706,539,1370
111003,2017,437423,259270,8155,16666,12455,86075
111101,2017,542039,28670,6317,17806,12628,48172729
111102,2017,369409,34334,5386,9514,6458,47299194
111201,2017,1408411,452,4393,4775,3692,7870
111202,2017,100810,299,790,1097,728,1428
111203,2017,285900,0,2503,3023,1662,4382
111301,2017,225978,1311,2659,2857,1850,1515
111302,2017,752595,3732,8506,17371,10401,0
111303,2017,706593,78734,7376,14178,10295,0
111401,2017,757862,61504,11924,22062,16799,34784987
111402,2017,217507,9689,841,8093,2252,14822284
111403,2017,495969,4021,5577,17594,10947,30456253
120100,2017,376977,4502,9137,21110,19375,34845132
120200,2017,325981,11251,3521,18345,11070,31586255
120301,2017,717834,8073,33135,56403,51755,0
120302,2017,357537,3523,4529,11647,8219,8588749
120401,2017,119063,4813,4668,14176,8461,94909
120402,2017,114559,4798,2356,6842,5653,147663
120500,2017,1555710,4625,9389,7640,9637,0
120601,2017,301563,1218,6333,6243,7738,14014
120602,2017,521105,3060,27568,23833,42106,123271
120701,2017,737545,7236,11566,23696,15930,10838245
120702,2017,501701,5126,84754,14333,62610,1138006
120800,2017,236519,2347,19208,6814,11936,10925
120901,2017,423454,1930,176887,7889,136250,23165
120902,2017,207741,3101,71946,7436,109540,52041
120903,2017,233607,3574,5767,5830,6975,129605
120904,2017,92905,354,1143,3429,1599,6943
121001,2017,171357,438,940,2435,2024,118305
121002,2017,348741,2355,27655,10368,42027,25382406
121003,2017,236620,4010,13316,9392,20033,0
121004,2017,178238,853,2881,3930,4942,11358
121101,2017,407863,2729,25863,9914,44317,32381
121102,2017,247074,3476,8526,8102,14655,37570
130100,2017,84235,831,29883,5074,2632,11258
130201,2017,17504,196,3948,2246,1646,10732
130202,2017,121649,753,17093,11653,6833,22929
130301,2017,59552,0,1515,2553,1396,6070
130302,2017,62172,0,445,1133,590,1624
130401,2017,8627,274,2156,1032,1880,2497
130402,2017,57507,242,12003,1517,20680,906
130403,2017,20073,124,43634,826,71579,1348
130500,2017,90784,141,2005,3198,3907,4789
130600,2017,356008,192,30798,5738,4976,7126
130700,2017,134599,308,78549,4355,52435,4756
130800,2017,83099,205,21309,1883,24457,6204
130900,2017,38329,671,3767,1186,2728,5430
140100,2017,105997,557,37778,11288,5725,0
140200,2017,108542,1180,37535,7638,4292,927984
140300,2017,46978,1263,5969,2799,1831,5368
140401,2017,135424,118,49097,6372,816,2356
140402,2017,5389,60,0,153,37,146
140500,2017,107279,641,86970,6300,1923,8730
140600,2017,117704,1347,26408,8447,3616,11980
140700,2017,37061,87,12561,2184,1892,1436
140801,2017,68857,781,39450,11734,11162,17287
140802,2017,30464,990,40221,10050,16498,12128
150100,2017,56291,2781,5270,5140,3192,7004
150200,2017,105440,0,107838,33909,35112,12496
150301,2017,25818,294,0,1023,700,0
150302,2017,15862,36,81,956,113,2713
150400,2017,65417,660,2190,3611,852,4101
150501,2017,90895,302,0,3352,1206,8547
150502,2017,123293,554,845,3170,2109,8868
150503,2017,287856,2133,806,5892,1191,5381
150601,2017,32514,41,6461,8578,2894,5058
150602,2017,27907,81,7883,3726,1321,5757
150701,2017,136184,1340,2358,6073,1835,0
150702,2017,124807,87,0,674,646,938
150801,2017,927,0,0,547,89,383
150802,2017,837,0,0,17,0,0
150803,2017,8612,242,0,564,270,1345
160101,2017,52951,32,23755,1935,526,690
160202,2017,72528,1254,34342,13256,2522,0
160203,2017,126082,426,27477,5150,1088,0
160300,2017,228288,541941,121985,7337,3113,0
160401,2017,111089,136,20940,3151,3047,3934
160402,2017,52182,0,0,794,302,634
160501,2017,18328,0,0,1459,395,1830
160502,2017,71061,195,5412,2087,7636,2594
160503,2017,49693,32,23113,995,394,1073
160600,2017,85273,88,14379,3303,1016,4009
170101,2017,6554,228,2138,1183,612,2835
170102,2017,191888,3508,8724,16984,3184,57118
170103,2017,26633,1408,4395,6556,3698,22173
170200,2017,388873,8933,7246,8754,3901,5414606
170300,2017,309633,780,11008,6820,4111,16866
170401,2017,23447,319,1927,4940,128,1772
170402,2017,1575952,0,197718,20483,12686,140940
170501,2017,837815,3807,32290,15964,10594,57847
170502,2017,84872,117,7807,2492,327,2751
170601,2017,124814,3851,11601,5707,4094,14265
170602,2017,62908,0,0,2751,2096,2769
170603,2017,33641,3598,2232,2391,1128,5249
170701,2017,300860,1191,12926,6606,3953,0
170702,2017,66038,79,0,2378,2010,2752
170703,2017,94553,1214,6405,13654,3189,13090
170800,2017,47713,1095,5721,5793,4389,2461599
170900,2017,139850,5622,81780,20524,20491,5470444
171001,2017,38074,604,2111,2656,1564,1254923
171002,2017,55945,467,3642,1451,1906,14189
171003,2017,120797,1340,48927,8162,9356,194984
171100,2017,199191,3955,15079,20391,9204,3393415
171200,2017,172360,136,4744,3712,878,0
180101,2017,171480,1727,25149,4501,6437,0
180102,2017,124949,1442,8992,3872,1720,9833
180200,2017,78340,386,8009,1420,1920,2243
180201,2017,326209,7299,92982,18586,28975,491987
180300,2017,2065986,0,156317,9296,29947,26422470
180400,2017,1528848,14316,53596,15403,35702,28096439
180500,2017,126454,1612,48529,6832,15377,2380223
180600,2017,146107,1549,20153,14280,4524,206785
180701,2017,7276,0,1369,5806,1038,10010
180702,2017,128724,622,7452,7407,2717,1769943
180703,2017,17236,1837,2311,8066,3074,2999259
180800,2017,31777,154,6743,925,523,1800
180901,2017,5564,0,0,544,22,0
180902,2017,89442,90,791,3405,1502,107035
181001,2017,493,77,0,525,220,0
181002,2017,421811,162,48621,844,521,1786
190101,2017,0,0,0,0,0,173
190102,2017,0,0,0,0,0,0
190103,2017,0,0,0,0,0,231
190104,2017,0,0,0,0,0,0
190201,2017,154,0,0,15,21,1739
190202,2017,0,0,18,0,46,255
190203,2017,467,77,65,243,144,2309
190204,2017,457,157,31,185,137,2997
190205,2017,893,178,223,201,251,1179
190206,2017,0,0,0,0,0,82
190207,2017,0,0,0,80,0,368
190301,2017,0,0,0,0,0,0
190302,2017,0,0,0,0,0,0
190303,2017,0,0,0,0,0,0
190304,2017,0,0,0,0,0,0
190305,2017,0,0,0,0,0,0
190401,2017,162,0,0,40,0,77
190402,2017,0,0,0,0,0,0
190404,2017,0,0,0,0,0,0
190405,2017,915,233,117,280,171,2198
190406,2017,0,0,0,0,0,0
190407,2017,0,0,0,0,0,0
190408,2017,0,0,0,0,0,0
190501,2017,0,0,0,0,0,0
190502,2017,0,0,0,0,0,0
190801,2017,0,0,0,0,0,0
190803,2017,1571,681,189,295,170,2218
190804,2017,0,0,0,0,0,0
190901,2017,0,0,0,0,0,0
190902,2017,0,0,0,0,0,0
190903,2017,0,0,0,0,0,0
200100,2017,98851,2252,8580,2542,7865,10491
200200,2017,15955,0,1067,395,3933,8664
200400,2017,0,0,0,0,0,2304
200500,2017,3056,333,482,169,669,0
200600,2017,4984,3252,0,653,1460,209358
200700,2017,14010,1633,1459,471,1725,1283
200800,2017,0,0,0,0,0,0
011100,,,,,,,
020100,,,,,,,
100100,,,,,,,
160102,,,,,,,
160201,,,,,,,
