Crop,ConversionFactor,YieldAcre,PoundsAcre,N,P,K,Ca,Mg,S,Cu,Mn,Zn
Barley,48,50,2400,1.82,0.34,0.43,0.05,0.1,0.16,0.0016,0.0016,0.0031
BarleyStraw,2000,1,2000,0.75,0.11,1.25,0.4,0.1,0.2,0.0005,0.016,0.0025
Buckwheat,48,30,1440,1.65,0.31,0.45,0.09,,,0.0009,0.0034,
BuckwheatStraw,2000,0.5,1000,0.78,0.05,2.26,1.4,,0.01,,,
Corn,56,120,6720,1.61,0.28,0.4,0.02,0.1,0.12,0.0007,0.0011,0.0018
CornStraw,2000,1.5,3000,1.11,0.2,1.34,0.29,0.22,0.16,0.0005,0.0166,0.0033
Oats,32,80,2560,1.95,0.34,0.49,0.08,0.12,0.2,0.0012,0.0047,0.002
OatsStraw,2000,2,4000,0.63,0.16,1.66,0.2,0.2,0.23,0.0008,0.003,0.0072
Rice,45,5500,247500,1.39,0.24,0.23,0.08,0.11,0.08,0.003,0.0022,0.0019
RiceStraw,2000,2.5,5000,0.6,0.09,1.16,0.18,0.1,,,0.0316,
Rye,56,30,1680,2.08,0.26,0.49,0.12,0.18,0.42,0.0012,0.0131,0.0018
RyeStraw,2000,1.5,3000,0.5,0.12,0.69,0.27,0.07,0.1,0.03,0.0047,0.0023
Sorghum,56,60,3360,1.67,0.36,0.42,0.13,0.17,0.17,0.0003,0.0013,0.0013
SorghumStraw,2000,3,6000,1.08,0.15,1.31,0.48,0.3,0.13,,0.0116,
Wheat,60,40,2400,2.08,0.62,0.52,0.04,0.25,0.13,0.0013,0.0038,0.0058
WheatStraw,2000,1.5,3000,0.67,0.07,0.97,0.2,0.1,0.17,0.0003,0.0053,0.0017
Flax,56,15,840,4.09,0.55,0.84,0.23,0.43,0.25,,0.0061,
FlaxStraw,2000,1.75,3500,1.24,0.11,1.75,0.72,0.31,0.27,,,
Oil palm,1,22000,22000,1.13,0.26,0.16,0.19,0.09,,0.0043,0.0225,
Oil palmStraw,2000,5,10000,1.07,0.49,1.69,,0.36,,,,
Peanuts,26,2800,72800,3.6,0.17,0.5,0.04,0.12,0.24,0.0008,0.004,
PeanutsStraw,2000,2.2,4400,2.33,0.24,1.75,1,0.38,0.36,,0.0051,
Rapeseed,50,35,1750,3.6,0.79,0.76,,0.66,,,,
RapeseedStraw,2000,3,6000,4.48,0.43,3.37,1.47,0.06,0.68,0.0001,0.0008,
Soybeans,60,35,2100,6.25,0.64,1.9,0.29,0.29,0.17,0.0017,0.0021,0.0017
SoybeansStraw,2000,2,4000,2.25,0.22,1.04,1,0.45,0.25,0.001,0.0115,0.0038
Sunflower,25,1100,27500,3.57,1.71,1.11,0.18,0.34,0.17,,0.0022,
SunflowerStraw,2000,4,8000,1.5,0.18,2.92,1.73,0.09,0.04,,0.0241,
Cotton,1,600,600,2.67,0.58,0.83,0.13,0.27,0.2,0.004,0.0073,
CottonStraw,1,1000,1000,1.75,0.22,1.45,1.4,0.4,0.75,,,
Alfalfa,2000,4,8000,2.25,0.22,1.87,1.4,0.26,0.24,0.0008,0.0055,0.0053
Bahiagrass,2000,3,6000,1.27,0.13,1.73,0.43,0.25,0.19,,,
Big bluestem,2000,3,6000,0.99,0.85,1.75,,0.2,,,,
Birdsfoot trefoil,2000,3,6000,2.49,0.22,1.82,1.75,0.4,,,,
Bluegrass-pastd.,2000,2,4000,2.91,0.43,1.95,0.53,0.23,0.66,0.0014,0.0075,0.002
Bromegrass,2000,5,10000,1.87,0.21,2.55,0.47,0.19,0.19,0.0008,0.0052,
Clover-grass,2000,6,12000,1.52,0.27,1.69,0.92,0.28,0.15,0.0008,0.0106,
Dallisgrass,2000,3,6000,1.92,0.2,1.72,0.56,0.4,,,,
Guineagrass,2000,10,20000,1.25,0.44,1.89,,0.43,0.2,,,
Bermudagrass,2000,8,16000,1.88,0.19,1.4,0.37,0.15,0.22,0.0013,,
Indiangrass,2000,3,6000,1,0.85,1.2,0.15,,,,,
Lespedeza,2000,3,6000,2.33,0.21,1.06,1.12,0.21,0.33,,0.0152,
Little bluestem,2000,3,6000,1.1,0.85,1.45,,0.2,,,,
Orchardgrass,2000,6,12000,1.47,0.2,2.16,0.3,0.24,0.26,0.0017,0.0078,
Pangolagrass,2000,10,20000,1.3,0.47,1.87,,0.29,0.2,,,
Paragrass,2000,10.5,21000,0.82,0.39,1.59,0.39,0.33,0.17,,,
Red clover,2000,2.5,5000,2,0.22,1.66,1.38,0.34,0.14,0.0008,0.0108,0.0072
Reed canarygrass,2000,6.5,13000,1.35,0.18,,0.36,,,,,
Ryegrass,2000,5,10000,1.67,0.27,1.42,0.65,0.35,,,,
Switchgrass,2000,3,6000,1.15,0.1,1.9,0.28,0.25,,,,
Tall fescue,2000,3.5,7000,1.97,0.2,2,0.3,0.19,,,,
Timothy,2000,2.5,5000,1.2,0.22,1.58,0.36,0.12,0.1,0.0006,0.0062,0.004
Wheatgrass,2000,1,2000,1.42,0.27,2.68,0.36,0.24,0.11,,,
Northern hardwoods,2000,50,100000,0.2,0.02,0.1,0.29,,,,,
Douglas fir,2000,76,152000,0.16,,,,,,,,
Apples,2000,12,24000,0.13,0.02,0.16,0.03,0.02,0.04,0.0001,0.0001,0.0001
Bananas,1,9900,9900,0.19,0.02,0.54,0.23,0.3,,,,
Cantaloupe,1,17500,17500,0.22,0.09,0.46,,0.34,,,,
Coconuts,2000,0.5,1000,5,0.6,3.33,0.21,0.36,0.34,0.001,,0.0076
Grapes,2000,12,24000,0.28,0.1,0.5,,0.04,,,,
Oranges,1,54000,54000,0.2,0.02,0.21,0.06,0.02,0.02,0.0004,0.0001,0.004
Peaches,2000,15,30000,0.12,0.03,0.19,0.01,0.03,0.01,,,0.001
Pineapple,2000,17,34000,0.43,0.35,1.68,0.02,0.18,0.04,,,
Tomatoes,2000,22,44000,0.3,0.04,0.33,0.02,0.03,0.04,0.0002,0.0003,0.0001
Alfalfa haylage,2000,5,10000,2.79,0.33,2.32,0.97,0.33,0.36,0.0009,0.0052,
Corn silage,2000,7,14000,1.1,0.25,1.09,0.36,0.18,0.15,0.0005,0.007,
Forage sorghum,2000,6,12000,1.44,0.19,1.02,0.37,0.31,0.11,0.0032,0.0045,
Oat haylage,2000,4,8000,1.6,0.28,0.94,0.31,0.24,0.18,,,
Sorghum-sudan,2000,5,10000,1.36,0.16,1.45,0.43,0.34,0.04,,0.0091,
Sugarcane,2000,0.16,320,0.04,0.37,0.05,0.04,0.04,,,,
Sugar beets,2000,0.2,400,0.03,0.14,0.11,0.08,0.03,0.0001,0.0025,,
Tobacco,1,2100,2100,3.75,0.33,4.98,3.75,0.9,0.7,0.0015,0.0275,0.0035
Bluegrass,2000,2,4000,2.91,0.43,1.95,0.53,0.23,0.66,0.0014,0.0075,0.002
Bentgrass,2000,2.5,5000,3.1,0.41,2.21,0.65,0.27,0.21,,,
Bermudagrass,2000,4,8000,1.88,0.19,1.4,0.37,0.15,0.22,0.0013,,
Bell peppers,2000,9,18000,0.4,0.12,0.49,,0.04,,,,
Beans,2000,0.5,1000,3.13,0.45,0.86,0.08,0.08,0.21,0.0008,0.0013,0.0025
Cabbage,2000,20,40000,0.33,0.04,0.27,0.05,0.02,0.11,0.0001,0.0003,0.0002
Carrots,2000,13,26000,0.19,0.04,0.25,0.05,0.02,0.02,0.0001,0.0004,
Cassava,2000,7,14000,0.4,0.13,0.63,0.26,0.13,,,,
Celery,2000,27,54000,0.17,0.09,0.45,,,,,,
Cucumbers,2000,10,20000,0.2,0.07,0.33,,0.02,,,,
Lettuce,2000,14,28000,0.23,0.08,0.46,,,,,,
Onions,2000,18,36000,0.3,0.06,0.22,0.07,0.01,0.12,0.0002,0.005,0.0021
Peas,2000,1.5,3000,3.68,0.4,0.9,0.08,0.24,0.24,,,
Potatoes,2000,14.5,29000,0.33,0.06,0.52,0.01,0.03,0.03,0.0002,0.0004,0.0002
Snap beans,2000,3,6000,0.88,0.26,0.96,0.05,0.1,0.11,0.0005,0.0009,
Sweet corn,2000,5.5,11000,0.89,0.24,0.58,,0.07,0.06,,,
Sweet potatoes,2000,7,14000,0.3,0.04,0.42,0.03,0.06,0.04,0.0002,0.0004,0.0002
Table beets,2000,15,30000,0.26,0.04,0.28,0.03,0.02,0.02,0.0001,0.0007,
Cattails,2000,8,16000,1.02,0.18,,,,,,,
Rushes,2000,1,2000,1.67,,,,,,,,
Saltgrass,2000,1,2000,1.44,0.27,0.62,,,,,,
Sedges,2000,0.8,1600,1.79,0.26,,0.66,,,,,
Water hyacinth,,,,,3.65,0.87,3.12,,,,,
Duckweed,,,,3.36,1,2.13,,,,,,
Arrowweed,,,,2.74,,,,,,,,
Phragmites,,,,1.83,0.1,0.52,,,,,,
